Vietnamese, Bahnar
"Các con cháu của La-ê-đan thuộc tộc Ghẹt-sôn; trưởng tộc họ La-ê-đan, thuộc tộc Ghẹt-sôn là Giê-hi-ên",Kon sâu Lađan lăm bơngai Gersôn pơm yŏng kơdră lăm bơngai Gersôn noh Jehieli
"Các con trai của Giê-hi-ên là Xê-tham và Giô-ên, em người, quản lý các kho tàng đền thờ CHÚA","Lu kon drŏ-nglo Jehieli noh Sêtham, păng Jôel oh sư đĭ-đăng lu sư jang wei-lăng hnam tah tơmam lăm hnam Kră Yang"
"Trong các dòng Am-ram, Dít-sê-ha, Hếp-rôn và U-xi-ên","Lăm bơngai Amram bơngai Ishar, bơngai Hêbrôn păng bơngai Usiêlit"
"có Sê-bu-ên, con cháu Ghẹt-sôn, thuộc dòng dõi Môi-se là viên chức quản lý kho tàng","Noh Subael, kon sâu Gersôm, kon drŏ-nglo Môis, pơm yŏng wei-lăng hnam tah tơmam gĭt"
"Các họ hàng của người theo tộc Ê-li-ê-se: Rê-ha-bia, con người, I-sa, con người, Giô-ram, con người, Xiếc-ri, con người, Sê-lô-mi, con người","'Nhŏng oh, kiơ̆ adrĕch Êliêser noh Rêhabia, kon drŏ-nglo sư Jêsaia, kon drŏ-nglo sư Jôram, kon drŏ-nglo sư Sikri, kon drŏ-nglo sư Sêlômit"
"Sê-lô-mi và các anh em người quản lý các nhà kho chứa đồ thánh mà vua Đa-vít, các trưởng tộc, các người chỉ huy ngàn quân và trăm quân cùng các người chỉ huy quân đội dâng hiến","Sêlômit păng 'nhŏng oh sư wei-lăng hnam 'măn lu tơmam gĭt đơ̆ng pơtao Đawit, lu bơngai yŏng kơdră adrĕch adrung, yŏng pơgơ̆r minh-rơbâu linh păng minh-hrĕng linh, hăm lu yŏng linh nai đei pơyơ̆r"
Người ta cũng lấy các chiến lợi phẩm trong chiến trận sung vào kho để tu bổ đền thờ CHÚA,"Kŭm đei lu tơmam đơ̆ng blah iŏk kơplah tơblah băl, wă yua ming hơmet hnam Kră Yang"
"Tất cả những vật mà Sa-mu-ên, vị tiên kiến, vua Sau-lơ con trai của Kích, Áp-ne con trai của Nê-rơ, Giô-áp con trai của Xê-ru-gia và mọi người khác dâng hiến đều do Sê-lô-mi và anh em người quản lý","Đĭ-đăng lu tơmam mă Samuel, bơngai khan lê̆ adrol đơ̆ng Sôl, kon drŏ-nglo Kis, Apner, kon drŏ-nglo Nêr păng Jôap, kon drŏ-nglo Sêruia, păng lu bơngai nai đei pơyơ̆r Sêlômit păng lu 'nhŏng oh sư wei-lăng ngăl"
"Trong dòng Dít-sê-ha có Kê-na-nia và các con trai người được lập lên làm viên chức và thẩm phán trên Y-sơ-ra-ên, có nhiệm vụ cai quản những việc bên ngoài đền thờ","Đơ̆ng lăm bơngai Ishar đei Kênania păng lu kon drŏ-nglo sư đe pôk pơm yŏng păng 'bok sek tơlang kơ bơngai Isơrael, lu sư athei wei-lăng tơdrong jang noh 'nguaih kơ hnam akŭm"
"Trong dòng Hếp-rôn có Ha-sa-bia và họ hàng người, là những người có khả năng, con số lên đến một ngàn bảy trăm người; họ cai quản Y-sơ-ra-ên về phía tây sông Giô-đanh trong mọi công việc của CHÚA cũng như phục dịch vua","Đơ̆ng lăm bơngai Hêbrôn đei Hasabia păng 'nhŏng oh sư, tă kơ bơngai nuih gơh hơgei ngăl, lu sư đei minh-rơbâu tơpơh-hrĕng 'nu; lu sư wei-lăng pơgơ̆r kon pơlei Isơrael gah bơmơ̆t kơ đak Krong Jôrđăn, wei-lăng tơdrong jang Kră Yang kư̆m bơ̆jang tơgŭm pơtao"
"Về dòng Hếp-rôn, Giê-ri-gia là trưởng tộc theo gia phả của gia đình",Lăm bơngai Hêbrôn đei Jêrija pơm yŏng kơdră lăm adrĕch adrung sư
"Vào năm thứ bốn mươi dưới triều vua Đa-vít, người ta tra cứu và thấy giữa vòng dòng họ Hếp-rôn có những người có khả năng tại Gia-ê-xe trong vùng Ga-la-át","Lăm sơnăm mă puăn-jĭt lăm chăl Đawit pơgơ̆r đe chă lăng 'bôh lăm bơngai Hêbrôn, đei lu bơngai nuih gơh hơgei lăm pơlei Jaser lăm dêh Gileat"
"Những người họ hàng của Giê-ri-gia gồm hai ngàn bảy trăm người có khả năng, là trưởng tộc, được vua Đa-vít lập lên cai quản người Ru-bên, người Gát và một nửa chi tộc Ma-na-se trong mọi công việc của Đức Chúa Trời lẫn của vua","Jêrija đei 'bar-rơbâu tơpơh-hrĕng 'nu 'nhŏng oh sư, nuih gơh hơgei pơm yŏng kơdră wei-lăng hnam dơnŏ 'bă; pơtao Đawit pôk lu sư wă kơ pơgơ̆r bơngai Rubên păng bơngai Gat păng kơ minh puăt bơngai Manase, lăm tơdrong jang Kră Yang 'Bok Kei-Dei păng tơdrong jang pơtao"
"Trưởng đoàn thứ nhất cho tháng thứ nhất là Gia-sô-bê-am, con trai Giáp-đi-ên; đoàn này có 24","Yŏng pơgơ̆r khŭl linh mă mônh, lăm khei mônh, noh Jahôbêam, kon drŏ-nglo Sapđiêl"
000 người,Lăm khŭl sư đei 'bar-jĭt puăn-rơbâu 'nu bơngai
"Người thuộc dòng dõi Phê-rết, đứng đầu trên hết các quan trong đoàn quân hoạt động vào tháng thứ nhất","Sư adrĕch Pêres, pơm yŏng linh lăm khei mônh"
"Trưởng đoàn quân thứ tư cho tháng tư là A-sa-ên, em Giô-áp; con trai người là Xê-ba-đia kế vị người; đoàn quân của người có 24","Yŏng pơgơ̆r khŭl linh mă puăn, lăm khei puăn, noh Asahel, oh Jôap"
000 người,"Sêbapđia, kon drŏ-nglo sư, pơm yŏng pơtrơp sư lăm khŭl sư đei 'bar-jĭt puăn-rơbâu 'nu bơngai"
Những người lãnh đạo các chi tộc Y-sơ-ra-ên gồm có:,'Nâu lu bơngai wei-lăng lu adrĕch adrung Isơrael:
"Ê-li-ê-se, con trai Xiếc-ri lãnh đạo chi tộc Ru-bên;","Êliêser kon drŏ-nglo Sikri, wei-lăng adrĕch Rubên;"
"Sê-pha-tia, con trai Ma-a-ca lãnh đạo chi tộc Si-mê-ôn","bơngai wei-lăng adrĕch Simêôn noh Sêphatia, kon drŏ-nglo Maaka"
"Ha-sa-bia, con trai Kê-mu-ên lãnh đạo chi tộc Lê-vi;",Hasabia kon drŏ-nglo Kêmuel bơngai wei-lăng adrĕch adrung Lêwi:
Xa-đốc lãnh đạo con cháu A-rôn,Sađôk sư wei-lăng kon sâu Arôn
"Ê-li-hu, anh của Đa-vít lãnh đạo chi tộc Giu-đa;","Êlihu, 'nhŏng Đawit bơngai wei-lăng adrĕch Juđa;"
"Ôm-ri, con trai của Mi-ca-ên lãnh đạo chi tộc Y-sa-ca","Ômri kon drŏ-nglo Mikael, wei-lăng adrĕch Isakar"
"Dít-ma-hia, con trai Ô-ba-đia lãnh đạo chi tộc Sa-bu-luân;",Ismaia kon drŏ-nglo Ôbadia; bơngai wei-lăng adrĕch Sabulun
"Giê-ri-mốt, con trai A-ri-ên lãnh đạo Nép-ta-li","Jêremôt kon drŏ-nglo Asriel, bơngai wei-lăng adrĕch Neptali"
"Ô-sê, con trai A-xa-xia lãnh đạo chi tộc Ép-ra-im;","Hôsêa, kon drŏ-nglo Asasia; bơngai wei-lăng adrĕch adrung Êphraim,"
"Giô-ên, con trai Phê-đa-gia lãnh đạo nửa chi tộc Ma-na-se","Jôel kon drŏ-nglo Pêđaia, bơngai wei-lăng minh puăt adrĕch Manase"
"Ghi-đô, con trai Xa-cha-ri lãnh đạo nửa chi tộc Ma-na-se tại Ga-la-át;","Iđô, kon drŏ-nglo Sachari bơngai wei-lăng minh puăt adrĕch adrung Manase tơ dêh Gileat"
"Gia-a-xi-ên, con trai Áp-ne lãnh đạo chi tộc Bên-gia-min",Jaasiel kon drŏ-nglo Apner bơngai wei-lăng adrĕch Bênjamin
"A-xa-rên, con trai Giê-rô-ham lãnh đạo chi tộc Đan","Asarel, kon drŏ-nglo Jêrôham bơngai wei-lăng adrĕch Đan"
Đó là những người lãnh đạo các chi tộc Y-sơ-ra-ên,'Noh lu bơngai pơgơ̆r wei-lăng lu adrĕch adrung Isơrael
Vua Đa-vít không lấy số người từ hai mươi tuổi trở xuống vì CHÚA hứa rằng Ngài sẽ làm cho dân Y-sơ-ra-ên đông như sao trên trời,"Đawit ưh kơ đei iŏk bơngai Isơrael đơ̆ng 'bar-jĭt sơnăm tơ ala, yua kơ Kră Yang đei pơkă Sư gô ăn kơ kon pơlei Isơrael lơlap lơlang thoi sơnglŏng kơpal plĕnh"
"Ết-ri, con trai Kê-lúp cai quản những nông dân canh tác đất đai","Êsri, kon drŏ-nglo Kêlup, wei-lăng lu bơngai jang mir na"
"Ba-anh Ha-nan, người Ghê-đe, cai quản những cây ô liu và cây vả trong vùng Sơ-phê-la","Baal Hanan bơngai Gêđer, wei-lăng lu 'long ôliwơ păng 'long hơra lăm tơring Sephela gah bơmơ̆t;"
Giô-ách cai quản các kho dầu ô liu,Jôas sư wei-lăng lu hnam tah đak rơmă ôliwơ
"Gia-xít, người Ha-ga-rít coi sóc các bầy chiên","Jasis, bơngai Hagrit, wei-lăng khŭl triu"
Tất cả những người này là viên chức quản lý sản nghiệp của vua Đa-vít,Đĭ-đăng lu bơngai 'nâu lu bơngai pơm yŏng wei-lăng lu mŭk tơmam pơtao Đawit
"Giô-na-than, cậu của Đa-vít làm cố vấn, một người sáng suốt và thông thái; Giê-hi-ên, con trai Hác-mô-ni chăm sóc các hoàng tử","Jônathan, ma kơ Đawit, bơngai đei đon gơh hơgei hlôh wao chih hla bơar tơgŭm chă đon pơđâu; Jêhiêl kon drŏ-nglo Hakmôni pơm bơngai wei rong lu kon drŏ-nglo pơtao"
"Sau A-hi-tô-phen là Giê-hô-gia-đa, con trai Bê-na-gia, rồi đến A-bia-tha","Ahithôphel, Jêhôiada, kon drŏ-nglo Bênaia păng Abiathar pơtrơp đơ̆ng Ahithôphel"
Giô-áp là thống tướng quân đội hoàng gia,Jôap pơm yŏng tih hloh pơgơ̆r linh pơtao
"CHÚA, là Đức Chúa Trời của Y-sơ-ra-ên đã chọn ta từ gia đình của cha ta để làm vua Y-sơ-ra-ên đời đời","Kră Yang 'Bok Kei-Dei Isơrael đei rơih boih inh đơ̆ng lăm hnam dơnŏ 'bă inh, wă pơm pơtao Isơrael ling-lang"
"Thật vậy, Ngài đã chọn chi tộc Giu-đa lên lãnh đạo, từ Giu-đa Ngài đã chọn gia đình cha ta và từ các con trai của cha ta, Ngài đã vui lòng chọn ta làm vua trên toàn thể Y-sơ-ra-ên","Tơpă sư đei rơih boih adrĕch Juđa pơgơ̆r wei-lăng; đơ̆ng lăm adrĕch Juđa sư rơih iŏk hnam dơnŏ 'bă inh; lăm lu kon drŏ-nglo 'bă inh, Kră Yang lăp đon rơih iŏk inh, pôk inh pơm pơtao kơ đĭ-đăng lu bơngai Isơrael"
"Trong số tất cả các con trai ta, thật CHÚA có cho ta nhiều con trai, Ngài chọn Sa-lô-môn, con trai ta, đặt ngồi trên ngai của vương quốc CHÚA để cai trị Y-sơ-ra-ên","Lăm lu kon drŏ-nglo inh, tơpă Kră Yang ăn kơ inh đei lơ kon drŏ-nglo Sư rơih iŏk Sôlômôn, kon drŏ-nglo inh, pơm pơtao lăm dêh char pơtao Kră Yang pơgơ̆r wei-lăng Isơrael"
"Ngài phán với ta: ‘Sa-lô-môn, con trai ngươi sẽ xây đền thờ và khuôn viên cho ta vì Ta đã chọn nó làm con và Ta sẽ là cha nó","Sư khan kơ Inh: Sôlômôn kon drŏ-nglo ih, gô pơm hnam păng cham Inh yua kơ Inh rơih iŏk boih sư pơm kon drŏ-nglo Inh, păng Inh gô pơm 'bă sư"
"Vậy, giờ đây, trước mắt toàn thể Y-sơ-ra-ên, là hội chúng của CHÚA và có Đức Chúa Trời chúng ta nghe thấy, hãy gìn giữ và thi hành mọi điều răn của CHÚA, Đức Chúa Trời các ngươi, như thế các ngươi mới sở hữu đất nước tốt đẹp này và truyền lại cho con cháu mai sau làm cơ nghiệp đời đời","Na dang ei, 'bơ̆t anăp đĭ-đăng bơngai Isơrael kon pơlei Kră Yang păng đei Kră Yang 'Bok Kei-Dei lu bơ̆n mơ̆ng, lu iĕm wei răk bĕ dôm khôi juăt nơ̆r tơtă Kră Yang 'Bok Kei-Dei lu iĕm lei na lu iĕm gơh đei iŏk dêh char 'lơ̆ng rŏ 'nâu păng 'măn ăn kơ kon sâu đơ̆ng rŏng bơ̆jang sa ling-lang"
"Vua Đa-vít trao cho Sa-lô-môn, con trai vua, họa đồ về tiền đường, đền thờ, các nhà kho, phòng lầu, phòng trong và phòng xá tội","Đawit pơjao ăn kơ Sôlômôn kon drŏ-nglo sư, hla bơar rup chhơ̆ tơ'bôh anih trong lăm hnam Kră Yang 'Bok Kei-Dei, hnam tah tơmam, anih tơ kơpal, anih lăm hnam Kră Yang 'Bok Kei-Dei păng anih rơgoh hloh"
"Vua cũng trao họa đồ mà Linh trong vua bày tỏ về các sân đền CHÚA, về tất cả các phòng chung quanh, về các kho trong đền Đức Chúa Trời và các kho chứa vật thánh","Pơtao kư̆m pơjao dơ̆ng đĭ-đăng rup đơ̆ng Yang Bơhngol mă đei ăn lăm kơ̆l đon sư, gah hnam Kră Yang păng gah lu anih puăn pah, gah hnam tah tơmam Kră Yang 'Bok Kei-Dei păng gah lu hnam 'măn tơmam pơyơ̆r"
"về các ban thầy tế lễ và người Lê-vi, về mọi công việc phục dịch đền thờ CHÚA, về các vật dụng phục dịch trong đền CHÚA",gah lu 'bok soi păng bơngai Lêwi kơ tơdrong jang lăm hnam Kră Yang păng gah lu tơmam yua lăm hnam Kră Yang
Vua ấn định số lượng vàng cho tất cả các vật dụng bằng vàng dùng trong mỗi công việc; số lượng bạc cho tất cả các vật dụng bằng bạc dùng trong mỗi công việc,"Pơtao kŏng ăn dôm yơ maih gah lu tơmam păng maih yua lăm lu tơdrong jang, kŏng ăn dôm yơ hu kơ lu tơmam wă pơm păng hu, wă yua lăm lu tơdrong jang"
"Người cũng ấn định số lượng vàng cho các bàn và mỗi bàn để bánh thánh, và bạc cho các bàn bằng bạc","Sư kư̆m kŏng ăn kơsô̆ maih kơ lu gơ'bang 'măn 'bĕng, kơ gơ'bang 'măn 'bĕng 'lơ̆ng rơgoh păng kŏng ăn hu kơ lu gơ'bang pơm păng hu"
"vàng ròng cho các chỉa, chậu rảy, bình; cho các đĩa, số lượng vàng cho mỗi đĩa vàng; cho các đĩa bạc và số lượng bạc cho mỗi đĩa","Kŏng ăn maih wă pơm chơ'mŏng chơkrơ, pơnhan, kơthao, 'bĭnh păng chhĕr păng maih păng kŏng dôm yơ maih kơ ăn rim pơnhan chhĕr maih păng kŏng ăn hu ăn kơ rim pơnhan chhĕr păng hu"
Người cũng ấn định số lượng vàng tinh luyện cho bàn thờ dâng hương và họa đồ xe có chê-ru-bim bằng vàng xòe cánh che trên rương giao ước của CHÚA,Kŭm kŏng maih se wă pơm chơnang soi soh tơmam 'bâu phu păng kŏng ăn maih pơm tơnglơ̆p đei chêrubim hăm maih bơyar pơnăr klơ̆p kơpal Hom Pơgơ̆p Kră Yang
Vua Đa-vít nói: “Tất cả đều ở trong một văn bản do tay CHÚA ở trên ta mà viết ra; Ngài cho ta hiểu tất cả mọi chi tiết của họa đồ,"Đawit pơma khan: “Đĭ-đăng lu 'nâu, inh đei đơ̆ng ti Kră Yang tơhlâu, păng ăn kơ inh hlôh băt đĭ-đăng rim tơdrong wă pơm"
"Vua Đa-vít nói với toàn hội chúng: “Sa-lô-môn, con trai ta, người mà Đức Chúa Trời đã chọn, hãy còn trẻ, thiếu kinh nghiệm, còn công việc thì lớn lao vì đền này không phải xây cho người phàm nhưng cho CHÚA, là Đức Chúa Trời","Đawit khan kơ đĭ-đăng tơpôl akŭm: “Sôlômôn, kon drŏ-nglo inh mă Kră Yang 'Bok Kei-Dei đei rơih iŏk, oei hơ'lơ̆p, sư tam mă biơh băt tơdrong jang âu tih dêh, yua kơ pơm hnam ưh kơ trŏ pơm kơ bơngai ôh, mă-lei hnam 'noh pơm ăn kơ Kră Yang 'Bok Kei-Dei"
"Ta đã hết sức cung cấp các vật liệu để xây đền Đức Chúa Trời ta; vàng cho những vật bằng vàng, bạc cho những vật bằng bạc, đồng cho những vật bằng đồng, sắt cho những vật bằng sắt, gỗ cho những vật bằng gỗ, ngọc mã não, ngọc để khảm, lam ngọc, ngọc nhiều màu và đủ loại đá quí và rất nhiều đá cẩm thạch","Inh đĭ jơhngơ̆m klơm klak hơmet tơmam wă pơm hnam Kră Yang 'Bok Kei-Dei bơ̆n, maih kơ tơmam kiơ pơm hăm maih, hu kơ tơmam kiơ pơm hăm hu, kong kơ tơmam kiơ pơm hăm kong, bơsei kơ tơmam kiơ pơm hăm bơsei 'long kơ tơmam păng 'long tơmo rang păng lu tơmo gĭt hăm tơmo kok jơk tôm tĕch đak gôh găm"
"Hơn nữa vì lòng yêu mến đền Đức Chúa Trời ta, nên ngoài số vật liệu đã sắm sẵn cho đền thánh, ta cũng dâng hiến vàng bạc từ kho riêng của ta cho đền Đức Chúa Trời ta","Yua kơ đei jơhngơ̆m 'mêm kơ hnam Kră Yang 'Bok Kei-Dei bơ̆n, na 'nguaih kơ dôm tơmam inh ăn wă pơm hnam 'lơ̆ng rơgoh, inh kư̆m pơyơ̆r ăn kơ pơm hnam Kră Yang 'Bok Kei-Dei inh lu tơmam maih hu đơ̆ng hnam tah tơmam inh kơdih"
Ta đã dâng hiến 100 tấn vàng Ô-phia 240 tấn bạc tinh luyện để dát tường đền thờ,"Inh đei pơyơ̆r boih minh-hrĕng tân maih Ôphir păng 'bar-hrĕng puăn-jĭt tân hu rơgoh, wă lom klơ̆p kơ tơnăr hnam akŭm wă pơm"
"vàng cho những vật bằng vàng, bạc cho các vật bằng bạc và cho tất cả những vật dụng thợ phải làm","Maih wă yua kơ lu tơmam pơm hăm maih, hu wă yua kơ lu tơmam pơm hăm hu păng wă yua lơ tơdrong jang bơngai gơh hơgei wă pơm"
"Vậy, hôm nay ai là người muốn dâng hiến rộng rãi cho CHÚA","Dang ei, bu wă 'maih pơyơ̆r kơdih ăn kơ Kră Yang"
"Bấy giờ lãnh đạo các họ, lãnh đạo các chi tộc của Y-sơ-ra-ên, những vị chỉ huy ngàn quân, chỉ huy trăm quân, những viên chức quản lý của vua đều vui lòng dâng hiến","Thoi noh lu bơngai pơgơ̆r lăm adrĕch adrung, lu bơngai pơgơ̆r lăm adrĕch adrung Isơrael, lu yŏng pơgơ̆r minh-rơbâu linh păng minh-hrĕng linh, lu bơngai pơgơ̆r lăm tơdrong jang hnam pơtao lăp đon kơ pơyơ̆r"
"Người có đá quí cũng dâng vào kho đền thờ CHÚA do Gia-hi-ên, người họ Ghẹt-sôn quản lý","Bơngai bu đei tơmo gĭt, lei pơjao ăn kơ Jêhiêl adrĕch Gersôn, mă pơgơ̆r lăm hnam tah tơmam Kră Yang"
"Dân chúng vui mừng trong sự tự nguyện dâng hiến, vì họ đã hết lòng dâng hiến cho CHÚA; vua Đa-vít cũng vô cùng vui mừng","Kon pơlei chơt hiôk gah tơdrong lu sư kơdih akâu đei pơyơ̆r, lu sư đĭ jơhngơ̆m pơyơ̆r kơ Kră Yang; păng pơtao Đawit kư̆m chơt hiôk dêh"
Phú quí vinh hoa đều đến từ Ngài;,"Tơdrong mơdrŏng mơng, păng tơdrong pơyom lĕch đơ̆ng Ih ngăl,"
Ngài cai quản mọi sự;,Ih boih wei-lăng đĭ-đăng;
Sức mạnh và quyền năng ở trong tay Ngài;,tơdrong mơsêh mơyang pran kơtang lăm ti Ih;
Ngài có quyền làm cho vĩ đại và ban sức lực cho mọi người,Ih pơm ăn đei tơdrong pơyom păng ăn jơhngơ̆m pran kơ rim 'nu bơngai
"Giờ đây, lạy Đức Chúa Trời chúng con,","Dang ei, ơ Kră Yang 'Bok Kei-Dei lu nhôn, lu nhôn bơnê kơ Ih"
Chúng con cảm tạ Ngài và ca ngợi danh vinh hiển Ngài,păng hơri ư-ang anăn Ih
"Vì trước mặt Ngài, chúng con cũng như tổ tiên chúng con chỉ là những người kiều cư, khách lạ; cuộc đời chúng con trên đất như những chiếc bóng, không nơi nương tựa","Yua kơ 'bơ̆t anăp Ih lu nhôn păng lu yă 'bok nhôn jơ̆ bơngai tơmoi, chăl arih lu nhôn tơ kơpal teh nhen thoi ngôi ưh kơ đei anih wă hơmĕng"
"Lạy CHÚA, Đức Chúa Trời chúng con, tất cả tài vật phong phú chúng con dâng để xây đền cho danh thánh Ngài đều do tay Ngài mà ra và đều thuộc về Ngài","Ơ Kră Yang 'Bok Kei-Dei lu nhôn, dôm lu tơmam mă lu nhôn đei pơyơ̆r wă pơm hnam kơ Anăn 'Lơ̆ng Rơgoh Ih, tă kơ lĕch đơ̆ng ti Ih păng đĭ-đăng tă kơ tơmam ih ngăl"
"Lạy Đức Chúa Trời của con, con biết rằng Ngài xét lòng người và vui về điều ngay thẳng","Ơ Kră Yang 'Bok Kei-Dei inh, inh băt kơ Ih 'bôh nhen lăm jơhngơ̆m klơm klak kon bơngai păng Ih hiôk gah tơdrong 'lơ̆ng tơpăt"
Chính con đã tự nguyện và với lòng ngay thẳng dâng hiến tất cả những vật này,Gah inh kư̆m kiơ̆ tơdrong 'lơ̆ng tơpăt lăm jơhngơ̆m hiôk pơyơ̆r ăn kơ ih lu tơmam 'nâu
Giờ đây con vui mừng thấy dân Ngài tại đây cũng vui vẻ tự nguyện dâng hiến cho Ngài,Dang ei inh hiôk dêh inh 'bôh kon pơlei Ih oei tơ âu kư̆m đei pơyơ̆r ăn kơ Ih hăm jơhngơ̆m hiôk
"Lạy CHÚA, Đức Chúa Trời của Áp-ra-ham, Y-sác, và Y-sơ-ra-ên, tổ phụ chúng con, xin gìn giữ ý nguyện, tư tưởng ấy trong lòng dân Ngài mãi mãi và xin giữ lòng họ hướng về Ngài","Ơ Kră Yang 'Bok Kei-Dei Abraham, Isăk păng Isơrael, yă 'bok lu nhôn apinh Ih ăn kơ kon pơlei ih wei răk ling-lang lăm Jơhngơ̆m đon 'lơ̆ng păng pơm ăn lăm Jơhngơ̆m lu sư chu kiơ̆ Ih"
"Xin Chúa ban cho Sa-lô-môn, con trai con, hết lòng gìn giữ điều răn, sắc luật và qui luật của Ngài; cùng làm mọi sự để xây cất đền thờ mà con đã chuẩn bị cho","Apinh Ih ăn kơ Sôlômôn, kon drŏ-nglo inh, đĭ jơhngơ̆m wei răk lu nơ̆r tơtă khôi juăt păng nơ̆r Ih pơkă pơkăm kư̆m pơm tôm tơdrong jang wă, man tơiung hnam mă inh đei chă hơmet lê̆ tơmam bơih"
